#  Parameters: 
#  beta0=-6.000000e+00 
#  sp=1.000000e+36 
#  sM=1.000000e+04 
#  psur=1.000000e+30 
#  rhocen=1.000000e+02 
#  mtb=1.660000e-27 
#  nt0=1.000000e+44 
#  Gamma=2.340000e+00 
#  kns=1.950000e-02 
#  Columns: 
#  mA/solar_mass, alpha0, alphaA_true, alphaA_check, betaA, kA.
1.858356413886798508e+00, -1.026264580354157511e-05, -3.156600970440583132e-02, -7.706571732793193519e+01, 1.029498790496062438e-01, -1.148261080595911920e+02
1.864145458963200941e+00, -1.027154437799412295e-05, -3.154419403596747662e-02, -4.843542235773176685e+01, 5.529390177311708371e-02, -1.216629474680442655e+02
1.869934504039604040e+00, -1.028044295244667417e-05, -3.152237836752912192e-02, -1.998236652293192606e+01, 7.637924496624823659e-03, -1.284694839449053916e+02
1.875724334500322055e+00, -1.028976978660531984e-05, -3.167925527989484680e-02, -1.338058534396797228e+01, -4.449804140282136514e-03, -1.410634431069535424e+02
1.881514443185436480e+00, -1.029941718934751857e-05, -3.189950603000783758e-02, -1.447446163723740753e+01, -3.923151093873582240e-03, -1.556965457006314466e+02
1.887304551693110177e+00, -1.030939372495475651e-05, -3.211985633073168034e-02, -1.555675890554804042e+01, -3.376682782260941127e-03, -1.703402420783840512e+02
1.893094659908783672e+00, -1.031989210862668731e-05, -3.234036324230679660e-02, -1.662445073179696919e+01, -2.799041527299557693e-03, -1.850427836667993802e+02
1.898884731319985475e+00, -1.033111047873060844e-05, -3.255825808769804985e-02, -1.668226160619937559e+01, -2.741324597528376882e-03, -1.861141970834850667e+02
1.904674798751238018e+00, -1.034238483541770711e-05, -3.277586296696693990e-02, -1.663154879409178832e+01, -2.741324597528376882e-03, -1.857071024095021130e+02
1.910464866182490784e+00, -1.035365919210480578e-05, -3.299346784623584383e-02, -1.658114337225759272e+01, -2.741324597528376882e-03, -1.853017844108345855e+02
1.916254933613743106e+00, -1.036493354879190275e-05, -3.321107272550473388e-02, -1.653104255368215547e+01, -2.741324597528376882e-03, -1.848982319947946280e+02
1.922045001044995649e+00, -1.037620790547900311e-05, -3.342867760477363781e-02, -1.648124358714050430e+01, -2.741324597529067302e-03, -1.844964333498553515e+02
1.927835068476248415e+00, -1.038748226216610178e-05, -3.364628248404252786e-02, -1.643174375660580466e+01, -2.741324597528376882e-03, -1.840963773791227140e+02
1.933625135907500736e+00, -1.039875661885320045e-05, -3.386388736331141791e-02, -1.638254037344982450e+01, -2.741324597528376882e-03, -1.836980524507794996e+02
1.401009165493745101e+00, -1.038980236867265104e-05, -3.211828038765729421e-02, 1.476292332212414522e+03, -1.880584965416743248e+00, 3.699549586487103170e+02
1.406801192544564039e+00, -1.039018183108717146e-05, -3.275253202356954302e-02, 1.470214196870992964e+03, -1.880584965416743026e+00, 3.689589689178906156e+02
1.412593219595382976e+00, -1.039056129350169357e-05, -3.338678365948180571e-02, 1.464185905650459972e+03, -1.880584965416743692e+00, 3.679683274884460502e+02
